Benchmarks	sim_seconds	system,cpu,cpi	system,cpu,dcache,overall_miss_rate::total	system,cpu,icache,overall_miss_rate::total	system,l2,overall_miss_rate::total
dcache_32	0,123239	1,232385	0,005777	0,000136	0,024803
dcache_64	0,120854	1,208540	0,003468	0,000135	0,041163
dcache_128	0,118890	1,188898	0,001493	0,000135	0,093236
icache_32	0,123333	1,233326	0,005777	0,000626	0,023957
icache_64	0,123239	1,232385	0,005777	0,000136	0,024803
icache_128	0,123234	1,232337	0,005777	0,000123	0,024805
l2_512kB	0,123239	1,232385	0,005777	0,000136	0,024803
l2_1MB	0,123228	1,232279	0,005777	0,000136	0,024129
l2_2MB	0,123228	1,232279	0,005777	0,000136	0,024129
l2_4MB	0,123228	1,232279	0,005777	0,000136	0,024129
Assoc_L1i_1	0,123239	1,232385	0,005777	0,000136	0,024803
Assoc_L1i_2	0,123229	1,232289	0,005777	0,000102	0,024716
Assoc_L1i_4	0,123226	1,232261	0,005777	0,000082	0,024751
Assoc_L1i_8	0,123226	1,232261	0,005777	0,000082	0,024740
Assoc_L1d_1	0,123239	1,232385	0,005777	0,000136	0,024803
Assoc_L1d_2	0,118800	1,188000	0,002368	0,000136	0,059327
Assoc_L1d_4	0,118509	1,185092	0,002029	0,000135	0,068988
Assoc_L1d_8	0,118503	1,185027	0,002035	0,000135	0,068751
Assoc_L2_1	0,123271	1,232709	0,005780	0,000136	0,026973
Assoc_L2_2	0,123239	1,232385	0,005777	0,000136	0,024803
Assoc_L2_4	0,123230	1,232297	0,005777	0,000136	0,024254
Assoc_L2_8	0,123228	1,232279	0,005777	0,000136	0,024129
linesize_32	0,122532	1,225318	0,006580	0,000176	0,039736
linesize_64	0,123239	1,232385	0,005777	0,000136	0,024803
linesize_128	0,124304	1,243045	0,005824	0,000118	0,013793
