Benchmarks	sim_seconds	system,cpu,cpi	system,cpu,dcache,overall_miss_rate::total	system,cpu,icache,overall_miss_rate::total	system,L2,overall_miss_rate::total
dcache_32	0,265595	2,655955	0,062568	0,000095	0,964146
dcache_64	0,264183	2,641829	0,061769	0,000094	0,981737
dcache_128	0,263611	2,636108	0,061370	0,000094	0,990764
icache_32	0,265598	2,655979	0,062568	0,000116	0,964067
icache_64	0,265595	2,655955	0,062568	0,000095	0,964146
icache_128	0,265595	2,655955	0,062568	0,000088	0,964170
L2_512kB	0,265595	2,655955	0,062568	0,000095	0,964146
L2_1MB	0,265487	2,654872	0,062568	0,000095	0,964146
L2_2MB	0,265357	2,653567	0,062568	0,000095	0,964146
L2_4MB	0,265097	2,650972	0,062568	0,000095	0,964146
Assoc_L1i_1	0,265595	2,655955	0,062568	0,000095	0,964146
Assoc_L1i_2	0,265595	2,655955	0,062568	0,000089	0,964169
Assoc_L1i_4	0,265595	2,655955	0,062568	0,000086	0,964177
Assoc_L1i_8	0,265595	2,655955	0,062568	0,000086	0,964180
Assoc_L1d_1	0,265595	2,655955	0,062568	0,000095	0,964146
Assoc_L1d_2	0,262509	2,625087	0,060971	0,000094	0,999945
Assoc_L1d_4	0,262509	2,625087	0,060971	0,000094	0,999946
Assoc_L1d_8	0,262509	2,625087	0,060971	0,000094	0,999946
Assoc_L2_1	0,265595	2,655952	0,062567	0,000095	0,964732
Assoc_L2_2	0,265595	2,655955	0,062568	0,000095	0,964146
Assoc_L2_4	0,265815	2,658154	0,062568	0,000095	0,964146
Assoc_L2_8	0,265498	2,654981	0,062568	0,000095	0,964146
linesize_32	0,393187	3,931873	0,122541	0,000089	0,991250
linesize_64	0,265595	2,655955	0,062568	0,000095	0,964146
linesize_128	0,203676	2,036764	0,033953	0,000117	0,861864
